Headlines,Labels
nomura upgrade pnb to buy on reasonable valuations,1
e-tailing biggies rope in nbfcs to woo sellers with loan,1
"hdfc, bank of india, others cut lend rat by up to 0.9%",1
sbi cut home loan interest rate to 9.45%,0
super six stock you can bet on november 16,0
right issue when market condition favourable: sbi,0
will finish internal inquiries on cobrapost next month: sbi,0
icici bank slash home loan rate by 0.15%,1
"buy yes bank, indusind bank, hdfc bank on dips: ashwani gujral",0
your stocks: investment pick by market expert,1
international women's day: sbi let bankers work from home,0
sudarshan sukhani upbeat on financial space,1
moody's retain sbi deposit rat at baa3,1
"global economy still fragile, say rbi",1
rec plan to raise usd 1 bn through fccbs,1
state bank of india look weak: shrikant chouhan,1
"buy sbi on dips, say anu jain",1
"strong support for nifty place at 9,370; 4 stock which could give up to 17% upside",1
cabinet clear merger of sbici with sbi,1
"sbi to kfa: get anyone, but bring in rs 1000-2000 cr soon",1
"bull's eye: buy sbi, dish tv, dalmia bharat, ceat, sks micro",1
"buy sbi 210 put, canara bank 220 put: gaurav bissa",1
panel on bad bank to submit report shortly: sbi chief,0
expect restructure to pick up in q4: sbi,1
"keep sbi, icici bank, hdfc bank in portfolio: r sreesankar",1
"buy sbi, say sudarshan sukhani",1
"sell ptc india, state bank of india, syndicate bank: thacker",0
sbi cut fd rat on select maturities by 0.15%,1
sbi top pick among banks: ubs securities,0
buy state bank of india; target of rs 2380: krchoksey,1
sbi to ramp up pos terminals to 1 lakh by march,0
federal bank q1 show steel loan a tick bomb for bank,1
case of wilful default must be deal with firmly: ficci,1
infosys may test rs 2250: gaurav bissa,1
"prefer axis bank, sbi: gaurang shah",1
bank to file objections to heineken's impleadment plea,0
right issue to augment capital: bank of bikaner & jaipur,1
bank borrow fall below rbi comfort zone to rs 52k cr,0
"short sbi around rs 2270-2280, say bhamre",1
"lower growth, shakeout await microfinance firm",0
govt to infuse rs 947 crore in canara bank,1
sbi approve merger with associate,1
"invest in sbi, say amisha vora",1
"buy, sell, hold: 5 stock be in focus on march 22, 2018",0
expect 4-5% cut in sbi: baliga,0
govt ask rbi to identify bank that can be merged: report,1
bank be try to help kingfisher: sbi chief,0
buy state bank of india; target of rs 427: prabhudas lilladher,1
do not expect rbi to move on repo rates: sbi,1
"tata sons, etihad airways, delta air line and qatar airways - long list of suitors for jet airways",1
hold sbi for long term: sharmila joshi,0
sbi set up 14 track centre to check npas: govt,0
sbi to use ioc kisan seva centre to serve farmers,0
air india spv approach bank seek lower interest rat on loan,0
"rajnish kumar appoint sbi's next chairman, to take over on october 7",1
sbi may slip to rs 2650: mohindar,1
sbi plan to raise up to $1.25 bn by issue bond in foreign currency,0
kapadia`s view on state bank of india,1
"hold state bank of india, say prakash gaba",0
"sell jubilant foodworks, metal stocks: sudarshan sukhani",0
"buy state bank of india, hindustan unilever: hemant thukral",1
kingfisher lenders to continue sell usl shares: sbi,0
additional provision of cdr a temporary phase: sbi,0
sbi say its net interest margin improve,1
psu bank asset quality to remain under pressure in q2,1
5th tranche of electoral bond sale from october 1: finmin,1
"sbi standalone september 2018 net interest income (nii) at rs 20,905.69 crore, up 12.48% q-o-q",1
"icici bank, sbi look good in bank space: sharma",1
sbi may delay $1.5 billion bond sale due to greek crisis,0
check out: top 10 stock of the day,0
"buy, sell, hold: 10 stock that may make or break your portfolio",1
stay away from bank stocks: shardul kulkarni,1
"sbi eye buys, overseas expansion: source",0
sbi: outcome of executive committee meet,1
"enter sbi at around rs 230-240, say rajat bose",1
prefer state bank of india for long term: parag thakkar,0
good time to build position in private banks: ashwani gujral,1
sbi have resistance at rs 2400: lkp,1
sbi q3 net see up 12%: poll,0
"top buy and sell ideas by ashwani gujral, sudarshan sukhani, mitessh thakkar for short term",1
sbi may slip to rs 2138: salil sharma,0
can manage fy12 without capital infusion from govt: sbi,1
don't take a fresh position in sbi: panda,1
expect sbi to test rs 1820: manoj murlidharan vayalar,0
"state bank of india look good, say shubham agarwal",0
"citi, sbi caps, 6 others in race to manage concor sale",1
"sell icici bank, sbi: sudarshan sukhani",1
sbi seek sebiï¿½s nod to launch retail bond issue,1
"worst be over, eye nim at 3.80%: sbi boss",1
"stay invest in banking, it stocks: sukhani",1
"vayalar upbeat on sbi, bank of india",1
sbi may test rs 1840-1850: hemant thukral,1
sbi have support at rs 2680: bothra,1
"buy sbi, icici bank, ril, infosys, sun pharma: sukhani",0
kotak mahindra hike base rate by 25 bps to 9.50%,0
"sbi see mobile bank transactions at 3,360 lakh in fy19",0
"buy sbi, hpcl: nooresh merani",0
book profit in hero motocorp: sukhani,0
"govt ask bank increase tenure of loans, not emis",1
sbi a top pick: sanjeev prasad,1
"buy sbi, icici bank on decline: choksey",0
new md-cum-ceo for indian bank,1
"pick pnb, bank of baroda: sudarshan sukhani",1
"sbi can move up to rs 2,370-2,380: bose",1
"bank of india may remain laggard, say sudarshan sukhani",1
"sp tulsian€™s view on godrej cons, coal india & pvt, psu bank",0
manishi raychaudhuri cautious on psu bank,1
"hold sbi; target rs 1900, say sharmila joshi",0
vijaya bank look cheap amongst psu banks: tulsian,1
expect more rate cut if inflation & cad fall further: rbi,0
sbi approve allotment of 1.29 cr equity share to goi on preferential basis,0
"like domestic cyclicals; buy icici bank, sbi: parag thakkar",1
punjab national bank cut fix deposit rat by 0.25%,1
"sbi q1 profit see down 32% to rs 2505 cr, slippages & npa key",0
state bank of india may test rs 2650- 2800 level: madan,1
npa provision for bank may stay elevate till fy20: report,0
"short state bank of india, target rs 264: siddarth bhamre",1
"ls pass subsidiary bank bill, give more power to centre",0
stay invest in sbi: sharmila joshi,1
"hdfc bank, sbi may see 4-5% bounce: thacker",1
"sbi top deck recast: 5 deputy mds, 18 chief gms appoint",0
super six: top chart pick for today,1
cbi register 3 case of bank fraud after rs 136 cr loss to sbi,1
"book some profit in sbi, say ashu madan",1
"sbi expect profit of rs 14,000-15,000 cr in fy13",0
sbi q3 disappoints: experts analyse,1
"invest in sbi, kotak mahindra bank: gaurang shah",0
tulsian tells: why private bank could see consolidation soon,1
economic growth can end banks' npls in next 3 yrs: experts,0
sbi result a mix bag; fall in nim a worry: iifl,0
"buy state bank of india, bank of baroda, obc: ashwani gujral",1
which bank have most exposure to debt-laden jp associates?,1
no reason why india cannot grow at 8-8.5%: op bhatt,0
icici bank can touch rs 780-800: shruti vora,1
"sbi chief seek more clarity, dispensations to resolve npas",1
buy sbi on dips: manish hathiramani,1
sbi to issue share for state bank of indore shareholders,1
see 12-14% credit growth in h2fy16: state bank of mysore,1
sbi have target of rs 1952: kapadia,1
"msmes need equity, would love to lend more to them: sbi",0
harihar bullish on public sector bank,1
"see some upside in sbi, say vijay chopra",1
"need 200 bps cut to revive capex, 50 bps paltry: hcc",1
sbi launch product for army personnel,1
sbi to issue bond of usd 100 mio under reverse enquiry,1
"icici bank, sbi look attractive: amisha vora",1
"nclt approve patanjali's rs 4,325cr bid for ruchi soya: report",1
"buy state bank of india feb 2000 call, say sukhani",0
"buy sbi, voltas, apollo tyres; avoid itc: sudarshan sukhani",0
sbi have support at rs 2200: sp tulsian,1
rbi impose rs 5.63 lakh fine on sbi for violation,1
sbi say net interest margins rise in dec quarter,1
sbi may slip to rs 1600: manghnani,0
"sbi raise over rs 7,000 cr in share sale via qip",0
nilesh shah view on ongc,0
"overall cautious on banks; hold pnb, bob: idbi capital",1
sbi seek advisor to optimise insolvency process of 15 videocon company,1
"what should investors do with sbi share €” buy on dips, book profit or exit?",1
chance of sub-15% credit growth by fy15-end slim: hdfc,1
"state bank of india q1 net profit may dip 202% qoq to rs. 2,535.7 cr: kotak",1
fewer psu share in key indices compare to pvt peer,1
bad loan on rise: how can bank tackle the menace?,0
bank nod essar oil's cdr exit but proposal to be rework,1
"hold sbi, say p sekhar",1
sbi appoint anshula kant as manage director,1
"sbi to raise rs 2,000 cr from bond",1
buy state bank of india: kapadia,1
"sell state bank of india, buy container corporation of india: gaurav bissa",1
"kfa owners ask to infuse equity, sell non-core assets:sbi",0
"buy sbi, pnb, bank of baroda: sukhani",0
"sbi may move to rs 2500, say regan homavazir",1
"prefer pnb, union bank, bob, sbi: sandip sabharwal",1
cabinet give nod to sbi merger with associate,1
bank unions to strike today; cheque clearances may be hit,1
"buy sbi, say gautam chhaochharia",1
sbi have target of rs 3150-3200: mithil pradhan,1
sbi move insolvency proceed against electrosteel,1
buy state bank of india: thacker,1
last min rush: rbi allow 29 bank to collect income tax,1
sbi have target of rs 2500: daga,0
sbi have target of rs 3075: rajesh jain,0
"sbi announce rs 6,000 cr one-time settlement scheme for tractor loan",1
buy sbi 1600 put: amit trivedi,1
"dod meet steelmin, merchant bankers on sail disinvestment",1
short sbi on every rise: anu jain,0
"buy sbi 305 call, india cement 120 call: vk sharma",1
seth bullish on the psu bank space,0
"like sbi, add l&t to portfolio: deven choksey",1
india inc q2 review: earn breadth deteriorates; margin pressure stark,0
sbi prefer bank bet; relatively negative on bob: ubs,1
sbi revise base rate by 10 bps to 9.80%,1
lic stall list of uti amc,1
"short sbi, say sudarshan sukhani",0
"rajan talk about deepen mkts, plug leakages: sbi",1
sell sbi; target of rs 1786: nirmal bang,1
sbi life q1 net up 6.43% at rs 215 cr,0
accumulate state bank of india; target of rs 330: dolat capital,1
nearly 35-40 company could figure on rbi's second list of loan defaulters,1
l&t metro achieve financial closure for hyd project,1
sbi to meet investors from monday for dollar bond offer,0
ai go for leaseback option for boeing dreamliners,1
"sbi get shareholder nod for rs 5,681 cr pref issue to govt",1
"buy state bank of india, say dilip bhat",1
expect icici bank to cross rs 858-859 mark: s kulkarni,1
"buy sbi, bank of baroda, union bank: ashwani gujral",1
s&p affirm rat on union bank on expectation of govt support,1
sbi approve sub-division of equity share,0
"buy icici bank, axis bank, sbi: sudarshan sukhani",1
"buy sbi, say shahina mukadam",0
sbi examine note at atms after fake currency report,1
"sell idea, m&m, tata motors; buy kesoram: ashwani gujral",1
dbt should be make remunerative for banks: sbi chief,1
sbi revise retail term deposit interest rat,1
"sbi plan to add 8,000 more atms this fiscal",1
stay away from psu bank stocks: sp tulsian,0
sbi q4 pat see up 59% at rs 2963 cr,0
"rbi fin 22 banks, warn 7 for kyc violations",0
kingfisher not a systemic risk: chakrabarty,1
"buy axis bank, yes bank on decline: rakesh gandhi",0
sbi have very strong resistance at rs 2900: mohindar,0
"no more credit to kfa, home loan rake revenue: sbi",1
have to monetise assets worth rs 1k cr for cdr: ramky,1
"banks, telcos partner for greater rural reach",1
"buy sbi, bank of baroda, jspl: ashwani gujral",0
higher capital infusion in psu bank unlikely: bank secy,0
"sbi domestic loan grow 21% in fy13, deposit up 15%",1
"sell sbi 1900 call, put: amit trivedi",1
stay away from bank stocks: shahina mukadam,0
"if merged, hdfc-hdfc bank to be 2nd largest after sbi: idfc",0
sbi q1 net profit up 42% at rs 2330 cr,1
"prefer sbi, icici bank: sudhanshu pandey",1
no plan for sbi to take over state bank,1
market under-estimating negative from sbi merger: hazari,0
security breach happen at atms of other service providers: sbi,1
"stay invest in sbi, say rajat bose",1
cabinet approve fdi of $200m for gmr airports,0
need quality board for better corporate governance: sbi,1
sbi q2 profit fall 40% yoy to rs 944.9 crore; asset quality improve,1
here be some investment ideas from deven choksey,0
kotak mahindra amc look at increase market share,0
"gopalkrishna, gandhi in race for rbi dy governor feb 2013",0
"buy sbi, may test rs 310: shahina mukadam",1
sbi new home loan offer 3-5 yrs interest moratorium to newgen,1
"chennai rains:sbi, icici not to impose penalty on emi delay",1
sbi: update on delist of equity share from regional stock exchange,0
milk mantra raise $10 mn to expand operation in east india,1
low oil price may help cos improve performance: sbi report,1
"buy sbi on dips, say sudarshan sukhani",1
sbi may defer $4.5bn right share sale: report,1
atm transaction volumes rise post waiver of charge,1
sbi may slip to rs 1820: mehta,0
"worst of the npas be behind us, say sbi chairman",0
"buy adani power, sbi, hpcl: sudarshan sukhani",1
sbi have support at rs 870: gujral,1
stake sale in uti amc might take time: sbi,1
finance minister defend sbi decision to cut save account interest rate,0
sbi aim for top spot in mobile bank,0
"rbi plan to revive stress loan market for banks, arc",1
don`t short bank nifty: bhamre,0
"buy sbi around rs 1900, say bhamre",1
will cb bhave get an extension?,1
buy state bank of india; target of rs 300: icici direct,1
bank opt for offbeat tactics to tackle $49 bn of bad debts,0
"sbi to raise rs 20,000 crore via bond for affordable house",0
54% of cpi basket will be completely exempt from gst: cea,1
"buy sbi 1600 calls, sell 1700, 1800 calls: trivedi",1
"buy bharat forge, power grid, sbi; sell igl: mitesh thacker",1
"psu bank install nearly 14,000 atms in fy16, miss target",1
"buy sbi 2,200 strike call around rs 113: trivedi",1
sbi may underperform: prabhudas lilladher,0
"hold sbi, may test rs 240: prakash gaba",1
buy sbi; target of rs 2970: kotak securities,1
cement sector may be market flavor for oct series: tulsian,0
tulsian tells: why one should buy in this mkt as an investor,1
"fm sitharaman's announcements show govt be serious, listen to stakeholders: sbi's arijit basu",1
one of 5 associate bank can be merge in fy'14: sbi chief,0
not look to increase deposit rat at present: unite bank of india,0
"go long in sbi, advise ashish chaturmohta",0
sbi can fall another 12-14%: baliga,0
"pick sbi, federal bank, asian paints, petronet lng: amit gupta",1
sbi jun qtr pat see down 14% at rs 2506cr: krchoksey,0
"go long in state bank of india, hdfc: aditya agarwal",1
"psbs to lend more to 'good and genuine msme borrowers', say piyush goyal",0
sbi may test rs 2620: salil sharma,0
"sbi q1 advance tax outgo rise 4% to rs 1,290 crore",1
"here€™s what sp tulsian make of icici bank, tvs motor earn",1
"buy sbi, say sukhani",1
six in 60: six stock one need to keep an eye on,1
fail atm transaction:sbi to pay fine for refund delay,0
"say hi to sia, sbi's new chatbot who will answer your query",1
atms run out of cash on second day of bank strike,1
sbi may slip to rs 220: vijay chopra,0
psbs expect to raise rs 9.60 lakh cr in 10yrs: report,1
lend rat can be cut when credit pick up: sbi,0
"sell pantaloon retail, say sukhani",0
"rbi panel favour gold-backed investments, monitor nbfcs",1
mmtc to tie-up with sbi to sell gold coin,1
state bank of india appoint parveen kumar gupta as md,0
"ind-ra retain ratings, outlook on sbi, bob, ubi, canara",0
"hold sbi, say satish betadpur",1
icici bank may see some bounce: bhamre,1
sbi have support at rs 1935: harchekar,1
"sell sbi around rs 1500, advise sanjeev agarwal",1
see downside in icici bank: anu jain,1
hold sbi with a long term: sukhani,1
why psbs may bridge valuation gap with private bank,0
"sbi, pnb, bob, icici bank top picks: ubs sec",1
bank earn to ride on rebound in loan demand,0
"buy axis bank, vedanta, infosys; sell bharat forge: sukhani",1
just why be idfc rid on relax infra lend norms?,1
kingfisher say bank have not start recovery process,0
"icici bank, sbi top pick on any declines; hold axis bank: iifl",1
don't expect slippage in margins due to base rate cut: sbi,0
sbi say seek between $1.1b-$3.3b capital infusion,0
ubi say efforts on to declare mallya wilful defaulter,0
no default in telecom space currently: sbi,0
buy psu bank stocks: niraj dalal,1
angel broking neutral on state bank of india,0
state bank of india eye profitable expansion outside home,1
"neyveli lignite in pact with sbi for rs 2,500 cr term loan",0
oriental bank of commerce cut base rate by 10bps to 10.40%,1
hold sbi; tata elxsi may test rs 1800: sharmila joshi,1
atms with in-built note detectors soon,0
state bank of travancore cut base rate by 20 bps to 9.95%,1
"go long in bob, dlf, century textiles: siddarth bhamre",1
bombay high court allow sbi to sell usl share,0
rbi to split cmd post for psu banks; experts debate outcome,1
central govt appoint p. pradeep kumar as md of sbi,1
buy sbi for long term: ashish chaturmohta,1
buy sbi; target of rs 310: geojit bnp paribas,1
top 100 company pay 10% more in advance tax in q2,1
"sell dlf, sbi, hpcl: ashwani gujral",1
"sbi flag concern on ap,telengana farm loan waiver talk",0
"keep boi, pnb, sbi in portfolio: vineet bhatnagar",1
state bank group to spend 2% of profit on csr: bhattacharya,1
merger with sbi should be complete before march 31: sbm,0
nris can invest in nps: pfrda,0
"sbi to send new cheque book by dec 15, update your address",1
"sbi cut interest rate on home, auto loan to lowest at 8.30% and 8.70% respectively",1
hold south indian bank for long term: ashu madan,0
"buy sbi, motherson sumi systems, aurobindo pharma: gujral",0
"sbi q4 profit see down 49%, asset quality pressure may continue",0
"big deal's status check on sbi card: ge out, carlyle in",1
sell sbi: akshata deshmukh,1
"sbi to raise fund via fpo, qips;to appoint 6 merchant bankers",1
sbi set rs 274.37 price for preferential share to govt,1
"buy jet airways, advise sudarshan sukhani",1
sbi set base rate at 7.5%,1
"buy sbi, say amit gupta",1
avoid sbi: ashish maheshwari,1
sbi right issue unlikely this fiscal: report,0
sbi target at rs 3200-3400: thacker,1
super six trade pick for the day,1
"enter sbi, say vishal malkan",1
moneycontrol top 5 business news of the day,1
"buy voltas, sbi: sudarshan sukhani",1
"ranbaxy, sbi, power grid look attractive: bhat",1
bank extend gain on hop of rate cut on may 3,0
state bank of india to consider dividend,1
"prefer state bank of india, say sandip sabharwal",1
sbi well capitalised; rat cut won't impact local biz: md,0
sbi will continue to underperform: sukhani,1
sbi q3 net profit see up 8% at rs 3062 cr,1
b sriram of sbi appoint md & ceo of idbi bank,1
enough be enough as far as gst proceed go: arun jaitley,1
sbi rise on fund infusion clearance from govt,0
sbi to invest in high quality stock only: chaudhuri,0
22 list company may default in fy14: india rat,0
"exit alok industries, say sudarshan sukhani",1
"enter in sbi, pnb on decline: baliga",1
sbi q1 net fall 14% on higher provision against bad loan,0
rajen shah`s view on sbi,0
state bank of india to raise usd 1.5 bn via share sale,1
"sbi, paypal ink pact for enable cross-border transactions",1
"buy ntpc; sell infosys, reliance capital, mindtree: sukhani",0
"despite gloom over npas, these bank could be good bargain",1
"buy sbi, say regan homavazir",0
supreme court agree to hear bank in aircel-maxis case,1
"irani negative on rec, pfc",1
"state bank of india's board meet on november 10, 2017",1
sbi may go upto rs 2020: salil sharma,1
state bank of india touch 52-week high,1
accumulate pnb on correction: sanjay dutt,0
sbi to raise around usd 600 mn in ecbs,1
jai bala's view on sbi,1
bullish on state bank of india; target rs 3250: religare,1
mohindar`s view on bank space,0
wipro a top pick: siddharth bhamre,0
"prefer banking, auto stocks: bhavin desai",1
buy state bank of india; target of rs 350: motilal oswal,1
hold sbi with long term view: hemen kapadia,0
atms get fewer and far in between? here's why,1
sbi likely to make bond issue in jan,0
"buy state bank of india, target rs 341: dharmesh shah",1
bob reduce mclr by up to 75 bps,1
sbi mull to raise up to $5 bn bonds: report,1
"stay invest in sbi, say kunal saraogi",1
be cautious on bank stocks: anantakrishnan,1
prefer private sector bank: dipan mehta,1
"prefer sbi, say rahul mohindar",1
hold tata motors; exit ongc: sukhani,1
expect some deceleration in loan growth ahead: sbi,1
sbi be operations in qatar,1
sbi can test rs 2250-2300: aditya agarwal,1
"buy state bank of india, say rajiv mehta",1
super six stock that can boost your portfolio on dec 7,1
buy sbi; target rs 350: p lilladher,1
buy sbi;target of rs 190: axis securities,0
bet on sbi; icici bank may move to rs 325: yogesh mehta,1
want retail investors to enter bond market: sbi,1
stay away from psu banks: ambareesh baliga,0
"sbi reduce employee base by 10,500 from apr-sep; 5,000 more to retire by march",0
samvat 2071: microsec handpicks 9 stock for investment,1
"sbi's q1 result on august 11, 2017",1
"news highlight of the day: a raja slam manmohan singh, call vinod rai 'sutradhaar' of 2g case",1
"asset quality remain a concern, say sbi",1
"ts harihar negative on psu banks, positive on private bank",0
bad loan of bank rise 50% in first 9 months: study,1
"short sbi, should slide below rs 200: amit harchekar",1
"msmes need equity, would love to lend more to them: sbi",0
"prefer axis bank, sbi, kpit tech: parag thakkar",1
"sell sbi, hdil, indiabulls real estate: ashwani gujral",1
rbi dy guv warn lic may feel pain of bank npa woes: bs,1
bank seek mechanism to ensure effective cdr process,0
no right issue on cards; fy10 net to grow at 40%: sbi,1
"sbi underperformer, target rs 2159: karvy",0
ioc top fortune india 500 list; ril at second spot,1
new indian overseas bank ceo to be name by friday: vinod rai,0
"buy sbi 240 put, say manoj murlidharan",1
"growth risk prompt rbi to cut repo, crr by 25bps",0
see lower level in bank of baroda: sukhani,0
phani sekhar positive on private bank stock,0
"sbi's capital adequate, no urgent need for right issue",1
sbi need rs 7900 cr to keep tier i cap at 8%,0
sbi dec qtr pat see up 18% at rs 2915cr: krchoksey,0
"go long in sbi, advise manas jaiswal",1
sbi enter into wealth mgmt space; open branch for start-ups,0
pinc handpicks 27 stocks: gloom ends...boom to follow!,1
sbi have target of rs 2950-3000: thacker,1
"lend to midcap cos carefully, not slowly: sbi dy md acharya",1
3i infotech raise rs 180cr via qip at rs 78.60/sh,1
"sbi q1 net see up 4.5%, slippages may fall; 5:25 rejig key",1
"buy sbi, bob, pnb on dips: sudarshan sukhani",1
here be top 10 stock to keep an eye on december 29,1
accumulate sbi; target of rs 2597: angel broking,1
sbi may issue loan recall notice to kingfisher soon,0
buy state bank of india; target of rs 340: icici direct,1
sbi start certification for officer who sanction loan,1
govt likely to infuse $544m in fy13: sbi,1
"sell bank stocks, say sudarshan sukhani",1
buy icici bank below rs 1020: bandyopadhyay,0
"after sbi, icici bank also increase spread on home loan",1
"optimistic on banks; stay with hdfc bank, sbi: angel broking",1
"buy banks, nbfc stock on correction: dipan mehta",1
rbi repo cut: will bank reduce interest rates?,1
"sbi can touch rs 2,400-2,450: bhambwani",1
buy dlf 320 put: vk sharma,0
nearly 65% of cash deposit make after demonetisation still in banks: sbi report,1
"buy century textiles, unichem labs; short sbi: diwan",1
"sbi put up assets worth rs 1,500 crore for sale",1
"sbi q2 profit see down 30%, slippages from watchlist key",1
"limit upside see in sail, say sukhani",1
"bull's eye: buy ioc, acc, sbi, bata; short welspun corp",1
sbi to raise upto rs 15000 crore during fy2017-18,1
bank unlikely to raise rat on surprise rbi rate hike,1
"go long in banks, energy space on correction: mahajan",0
"hold icici bank, sbi: hemen kapadia",1
"sbi q2 pat see down 27%, asset quality pressure may remain",1
sbi qip get a tepid response,1
"buy ongc, jsw steel; sell granules india, sun tv, wockhardt: mitessh thakkar",1
sbi look expensive: radhika gupta,1
icici bank to expand china presence with shanghai branch,0
idfc appoint former cag vinod rai as independent director,0
"buy sbi, kotak bank, bharti airtel, bajaj auto: rahul mohindar",0
sbi appoint shri. s. visvanathan as md,1
prefer sbi: sudarshan sukhani,1
"sbi raise rs 15,000 crore through qip",1
"short icici bank, say salil sharma",0
"sbi get board nod to raise remain rs 5,000 cr in debt",1
karnataka hc order wind up of unite breweries hold,1
nclt admit videocon case for insolvency proceed,0
why you should focus on these 10 stock today,1
prabhat awasthi bullish on bank,1
"sell aurobindo pharma, psu banks; buy bata: sudarshan sukhani",1
amount raise via equity issuances by indian cos at 10-year high: report,1
competition commission reject complaint against sbi,0
"sbi can move to rs 2300, say sudarshan sukhani",0
sbi to raise deposit rat from dec 7,1
"bharti, sbi to invest $22 mn in mobile bank jv",1
"sbi give new year gift to exist borrowers, cut base rate by 30bps to 8.65%",1
"hold sbi, may test rs 300: shahina mukadam",1
"sbi q1 net profit up 25% at rs 2914 cr, beat estimate",0
"sell sbi, bharti airtel, torrent pharmaceuticals: ashwani gujral",1
sell state bank of india; target of rs 1452: dolat capital,1
sbi q1 pat see up 4.7% at rs 3393.6 cr: emkay,0
"buy sbi 275 put, 300 call: chandan taparia",1
diageo may not recover rs 900 cr loan from vijay mallya co,1
sbi look to maintain mclr at exist rat via 2-tier save interest rate,1
sbi may slip to rs 2200: manghnani,1
see need for greater clarity on debt restructuring: sbi,1
sbi can give 25-30% return: thacker,1
capital infusion to be do before fy12 end: sbi,1
"see fy13 gdp over 5%, crr cut in june: sbi's chaudhuri",0
"prefer sbi, indian bank: gaurang shah",0
ruias may lose essar steel to pe investor farallon: report,0
"buy sbi, icici bank: sudarshan sukhani",1
boosters: 10 stock that deutsche bank be bullish on for 2017,1
"contractor, chaudhuri likely to be shortlist for sbi md",1
examine legal implications involve in airbus issue: ubi,1
reliance industries continue to underperform: irani,1
sbi's acharya-led corporate group's decisions under scanner,1
sbi say busy season fail to lift credit off-take,1
"hold sbi, icici bank, say rajesh agarwal",0
sbi to allot 5.13cr equity share,0
ifci offload 0.17% stake in nse for rs 29.6 crore,1
"prefer state bank of india, say mayuresh joshi",1
sbi launch mobile wallet app 'buddy',1
"buy, sell, hold: 13 stock for your portfolio",1
the balance of power have shift decisively in favour of private-sector bank,1
ispat's lenders seek to convert rs 932cr loan to equity,1
limit space for further cut in lend rate: sbi chief rajnish kumar,1
sell icici bank: sudarshan sukhani,0
"positive on it, fin services, logistics cos: prabhudas l",1
"short obc, pnb, uco bank: sudarshan sukhani",0
sbi appoint shareholders' directors,1
"state bank of india's fy15 result on may 22, 2015",1
hindalco to raise rs 5000cr to refinance debt: source,1
take action against loan defaulters: chidambaram to bank,0
sbi can touch rs 1880-1900: kulkarni,1
"kingfisher won't fly, if doesn't get capital by nov 30: sbi",0
sbi can touch rs 3100: gujral,0
"sbi clarify closure of 41.16 lakh save bank account due to merger, not failure to keep minimum balance",0
"prefer banking, it, pharma stocks: nirmal jain",1
"prefer banks, nbfc stocks: sudarshan sukhani",1
sbi may test rs 2300: rajat bose,1
"sbi expect 6,000 employees to opt for vrs as it ready to merge with associate",1
buy sbi on dips: parag thakkar,1
dr subir gokarn cease to be director of sbi,1
expect further lend rate cut a bite optimistic: sbi md,0
sbi advance tax payment down 33% at rs 1130 cr; hdfc up 16%,0
diwan's view on state bank of india,1
"vibhav kapoor overweight on psu banks, advise invest",1
"short axis bank, sbi at current levels: kunal bothra",0
"india infoline bullish on hdfc bank, lic house fin",1
"buy sbi, say sudarshan sukhani",1
prabhat awasthi positive on bank space,1
tourism fin corp to seek licence from rbi to set up bank,1
sbi revise interest rate on bulk deposit,1
bank extend deadline to submit bid for jet airways stake to april 12,1
arundhati bhattarchaya rubbish allegations of bank penalise poor,0
asset quality: a key for banks' second quarter earn,1
"short sbi, say aditya agarwal",1
t rowe seek time from bombay hc on leo puri's extension petition; hear adjourn until aug 28,0
"ola offer rs 1.5 lk on exchange, to pay 2 emis for cng vehicles",1
"buy state bank of india 285 call, say rahul shah",1
vijay mallya€™s kingfisher house go unsold for fifth time,1
stay invest in sbi; may test rs 2400: kunal bothra,1
"stay invest in sbi, say sandeep wagle",1
state bank of india can go upto rs 2440: sharma,1
icici bank can touch rs 1100: bothra,1
"sbi may slip 15-20%, say suresh ganapathy",1
bull's eye: stock to buy today,0
chequebooks of six subsidiary bank of sbi to become invalid from september 30,1
essar steel 'suppressed facts:' sbi to hc,1
"sbi may slip to rs 1450- 1500, say sukhani",1
"buy sbi, dr reddy's labs, torrent pharma, bharat forge: gujral",1
sell state bank of india fut below rs 2216: iifl,0
sbi chief ask psbs to improve governance to get investors appetite for them,0
sell state bank of india; target of rs 1786: nirmal bang,1
"iifl bullish on tata steel, jspl & nmdc",0
"bullish on sundaram finance & gic housing, buy sbi: centrum broking",0
"post q3, clsa underweight on psus; see value in private bank",1
"pnb best bet, sbi may hit rs 227, indian bank rs 147: rajat bose",0
"sell srf, axis bank: sudarshan sukhani",0
"sbi to seek board nod for rs 8,800 crore govt capital this week",0
"pramerica overweight on it, auto ancillaries, cement space",0
"remain invest in sbi, say sp tulsian",1
sbi be play catch-up: cfo,1
"buy sbi 1500 call; sell 1550, 1600 calls: amit trivedi",1
"power be a stress sector for entire bank space, say sbi",1
godrej properties sign mou with sbi for project promotion,1
short bank stocks: sudarshan sukhani,0
sbi to continue with home loan rate of 8% till sep,0
"thukral bullish on icici bank, hdfc bank",0
"after bob & andhra bank, state bank of india cut base rate to 8.95%",0
sbi to raise $500-600mn in offshore borrow,1
"sell sbi, say siddhartha chaterjee",0
mkt stress for infra; focus on profitability: srei,0
"invest in infosys, sbi, maruti, sun pharma, l&t: sukhani",0
explained: stress asset fund and why do bank need them badly,1
"ezetap raise rs 150 crore from horizons ventures, others",1
"buy sbi, indusind bank, colgate palmolive: sudarshan sukhani",0
"buy state bank of india, target rs 280: prakash gaba",1
